steps,time,reward,delta,converged
1,0.012175802469135633,1.1194551871559837,0.10622485871518939,False
2,0.02777797530864312,1.5416254545926664,5.2694626634114e-06,False
3,0.02308701234567856,1.541635584624082,5.2695084786257614e-06,False
4,0.02096632098765383,1.54163575210797,5.269508478752179e-06,False
5,0.026991407407406243,1.541635584624082,5.2695084786257614e-06,False
6,0.02058943209876496,1.54163575210797,5.269508478752179e-06,False
7,0.02846933333333368,1.541635584624082,5.2695084786257614e-06,False
8,0.028321975308641,1.54163575210797,5.269508478752179e-06,False
9,0.023460345679012562,1.541635584624082,5.2695084786257614e-06,False
10,0.02410627160493739,1.54163575210797,5.269508478752179e-06,False
11,0.02491496296296347,1.541635584624082,5.2695084786257614e-06,False
12,0.016711506172839563,1.54163575210797,5.269508478752179e-06,True
