params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.7878245925925924,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.33925135802469,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",5.821500839506175,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.767667358024692,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",4.415535407407404,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",4.712635654320984,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",5.832305777777776,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",5.014158222222221,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",5.40410548148148,100,9.741568504501277e-05,0.0,0.0,0.006024096385542169,0.0007011444547898928
"{""discount_factor"": 0.9}",6.045765135802469,100,0.001114479065896014,0.0,0.0,0.009708737864077669,0.0025014657982776528
