steps,time,reward,delta,converged
1,0.030203654321212525,-4.754491017964072,0,False
2,0.030443456789726042,-4.5568862275449105,0,False
3,0.029927111111192062,-3.1736526946107784,0,False
4,0.031964839506144926,-4.5568862275449105,0,False
5,0.007165629629980685,-1.989795918367347,100.0,False
6,0.04026627160510543,-3.964071856287425,100.0,False
7,0.029804641975260893,-2.555205047318612,100.0,False
8,0.02541906172837116,-3.593175853018373,100.0,False
9,0.037752493827156286,-3.568862275449102,100.0,False
10,0.0017520987653369957,2.8846153846153846,100.0,False
11,0.026329283950417448,-4.064599483204135,100.0,False
12,0.01069708641989564,-2.152941176470588,100.0,False
13,0.003057382716178836,-0.9574468085106383,100.0,False
14,0.013615802468848415,-2.5445026178010473,100.0,False
15,0.0017236543212675315,-0.9230769230769231,100.0,False
16,0.002707753086269804,-0.95,100.0,False
17,0.008359111111076345,-2.5934959349593494,100.0,False
18,0.01278893827156935,-3.3932038834951457,100.0,False
19,0.0033410370369892917,1.8055555555555556,100.0,False
20,0.007419259259222599,-1.8738738738738738,100.0,False
21,0.006534716049372946,-1.8981481481481481,100.0,False
22,0.0036080987651985197,-0.9672131147540983,100.0,False
23,0.010221432098660443,-4.971264367816092,100.0,False
24,0.0040936296295512875,-0.9672131147540983,100.0,False
25,0.0021673086421287735,1.8055555555555556,100.0,False
26,0.0017868641975837818,-0.9333333333333333,100.0,False
27,0.001329382715994143,3.391304347826087,100.0,False
28,0.0073216790124206454,-3.587719298245614,100.0,False
29,0.0030123456790533965,-0.9583333333333334,100.0,False
30,0.0016537283950128767,2.4827586206896552,100.0,False
31,0.0023257283951352292,1.4634146341463414,100.0,False
32,0.0010959012342937058,4.315789473684211,100.0,False
33,0.0019026172840312938,2.0606060606060606,100.0,False
34,0.001193481481550407,3.8095238095238093,100.0,False
35,0.0013025185185142618,-0.9090909090909091,100.0,False
36,0.002367209876410925,-0.9333333333333333,100.0,False
37,0.0028744691358042473,1.0612244897959184,100.0,False
38,0.0011863703703056672,4.05,100.0,False
39,0.0017023209875333123,2.8846153846153846,100.0,False
40,0.0015873580246079655,3.2083333333333335,100.0,False
41,0.0048778271602714085,-5.338235294117647,100.0,False
42,0.004107851852040767,0.7719298245614035,100.0,False
43,0.0027705679008249717,-0.9473684210526315,100.0,False
44,0.00300720987661407,-0.9523809523809523,100.0,False
