episode,length,time,reward,delta
0,500.0,0.030866962963045808,-2580.0,-51.659863398397825
1,500.0,0.03184553086430242,-2580.0,-0.49272746772956477
2,342.0,0.019944691357977717,-2321.0,100.0
3,72.0,0.004850172839269362,-71.0,50.0
4,311.0,0.0254411851851728,-1399.0,25.0
5,62.0,0.007182222222127166,-358.0,12.5
6,40.0,0.005284740740535199,-39.0,6.25
7,22.0,0.0016790123459031747,78.0,3.125
8,22.0,0.0013839012344760704,78.0,1.5625
9,28.0,0.0016620246915408643,72.0,0.78125
10,18.0,0.001099851851904532,82.0,0.390625
11,89.0,0.0053495308638957795,-385.0,0.1953125
12,93.0,0.005510320987468731,-290.0,0.09765625
13,19.0,0.0011583209875425382,81.0,0.048828125
14,17.0,0.0011772839507102617,83.0,0.0244140625
15,16.0,0.0009880493826130987,84.0,0.01220703125
16,58.0,0.003422814814712183,-156.0,0.006103515625
17,17.0,0.0010587654319351714,83.0,0.0030517578125
18,14.0,0.000865185184920847,86.0,0.00152587890625
19,18.0,0.001095111111226288,82.0,0.000762939453125
20,19.0,0.0011452839503363066,81.0,0.0003814697265625
21,111.0,0.0063533827164974355,-506.0,0.00019073486328125
22,23.0,0.0013538765433622757,-22.0,9.5367431640625e-05
23,20.0,0.0011998024692729814,80.0,4.76837158203125e-05
24,62.0,0.003549234568254178,-259.0,2.384185791015625e-05
25,20.0,0.001187555555588915,80.0,1.1920928955078125e-05
26,41.0,0.002391703703779058,-139.0,5.9604644775390625e-06
27,17.0,0.001020444444293389,83.0,2.9802322387695312e-06
28,14.0,0.0008549135800421936,86.0,1.4901161193847656e-06
29,17.0,0.0010243950619042153,-16.0,7.450580596923828e-07
30,15.0,0.000915358024485613,85.0,3.725290298461914e-07
31,39.0,0.002287012345277617,-137.0,1.862645149230957e-07
32,16.0,0.000981333333584189,84.0,9.313225746154785e-08
33,21.0,0.001248395061793417,79.0,4.6566128730773926e-08
34,31.0,0.0018141234568247455,-129.0,2.3283064365386963e-08
35,22.0,0.0013258271601443994,-120.0,1.1641532182693481e-08
36,17.0,0.001033086419738538,83.0,5.820766091346741e-09
37,21.0,0.0012594567901942355,79.0,2.9103830456733704e-09
38,18.0,0.0010899753087869613,82.0,1.4551915228366852e-09
39,32.0,0.0018982716051141324,-31.0,7.275957614183426e-10
40,32.0,0.0018757530865514127,-31.0,3.637978807091713e-10
41,18.0,0.0010856296294150525,82.0,1.8189894035458565e-10
42,42.0,0.002441876543343824,-239.0,9.094947017729282e-11
43,32.0,0.0018721975307016692,-31.0,4.547473508864641e-11
44,17.0,0.001042172839788691,83.0,2.2737367544323206e-11
45,15.0,0.0009090370367630385,85.0,1.1368683772161603e-11
46,22.0,0.001364148148240929,78.0,5.6843418860808015e-12
47,44.0,0.0027152592592756264,-142.0,2.8421709430404007e-12
48,14.0,0.0009011358024508809,86.0,1.4210854715202004e-12
49,39.0,0.002667456790277356,-38.0,7.105427357601002e-13
50,16.0,0.0014957037033127563,84.0,3.552713678800501e-13
51,20.0,0.001449876543119899,80.0,1.7053025658242404e-13
52,18.0,0.0010473086422280176,82.0,8.526512829121202e-14
53,18.0,0.0010508641976230138,82.0,4.263256414560601e-14
54,28.0,0.0016971851850939856,-27.0,2.842170943040401e-14
55,21.0,0.0014550123455592257,-20.0,1.4210854715202004e-14
56,22.0,0.0012630123455892317,78.0,0.0
57,46.0,0.0025856790120997175,-144.0,0.0
58,17.0,0.0011085432097388548,83.0,0.0
59,18.0,0.001071802469141403,82.0,0.0
