params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",9.345789629629735,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",6.655434271604918,100,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.3606012028273224
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",3.7302119506173312,100,5.353098039215688,5.733333333333333,4.9411764705882355,5.733333333333333,0.39576144178085526
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",3.599542123457013,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.355876040618902
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",3.6073224691356245,100,2.2319999999999993,-1.0,-1.0,5.733333333333333,3.3639722551372704
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",3.509429728395162,100,2.905333333333333,5.733333333333333,-1.0,5.733333333333333,3.3232939482788253
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.638349827160482,100,2.905333333333334,5.733333333333333,-1.0,5.733333333333333,3.3232939482788253
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.7149759999999787,100,2.0973333333333333,-1.0,-1.0,5.733333333333333,3.3558760406189014
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.2790637037037413,100,3.1073333333333335,5.733333333333333,-1.0,5.733333333333333,3.2841829019306052
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.2025177283951507,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",8.419140345679125,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",4.514281086419942,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",4.150563950617425,100,1.8279999999999998,-1.0,-1.0,5.733333333333333,3.3232939482788257
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",3.988764839506075,100,1.9626666666666663,-1.0,-1.0,5.733333333333333,3.342338768653537
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",3.221732345679129,100,5.345176470588236,5.733333333333333,4.9411764705882355,5.733333333333333,0.3959992077631211
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",3.4824825679011155,100,2.299333333333333,-1.0,-1.0,5.733333333333333,3.3659932659865293
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.312819753086387,100,2.8380000000000005,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.627767308641978,100,1.9626666666666663,-1.0,-1.0,5.733333333333333,3.342338768653537
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.4839557530865477,100,2.568666666666666,5.733333333333333,-1.0,5.733333333333333,3.360601202827322
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.4144679506171087,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.355876040618902
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",8.792048592592437,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",4.295270716049345,100,2.568666666666666,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",3.706773333333331,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.3423387686535375
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",3.781598419753209,100,2.4339999999999993,5.733333333333333,-1.0,5.733333333333333,3.36599326598653
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",3.759058172839559,100,1.9626666666666663,-1.0,-1.0,5.733333333333333,3.3423387686535375
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",3.5560114567899745,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.9617754074074583,100,2.4339999999999997,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.6432217283950195,100,2.299333333333333,-1.0,-1.0,5.733333333333333,3.3659932659865293
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.8228989629631087,100,1.9626666666666666,-1.0,-1.0,5.733333333333333,3.3423387686535375
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.71941056790115,100,2.1646666666666663,-1.0,-1.0,5.733333333333333,3.360601202827322
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",34.28089007407402,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",6.495100839505994,100,2.905333333333333,5.733333333333333,-1.0,5.733333333333333,3.3232939482788253
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",3.6030467160492208,100,5.337254901960786,5.337254901960785,4.9411764705882355,5.733333333333333,0.39607843137254894
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",3.4633347160495305,100,2.905333333333334,5.733333333333333,-1.0,5.733333333333333,3.3232939482788253
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",3.372067160493998,100,2.770666666666667,5.733333333333333,-1.0,5.733333333333333,3.342338768653538
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",3.308564938271502,100,2.4339999999999993,5.733333333333333,-1.0,5.733333333333333,3.3659932659865297
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",3.261255111111268,100,2.5686666666666667,5.733333333333333,-1.0,5.733333333333333,3.3606012028273224
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.35403693827152,100,2.8380000000000005,5.733333333333333,-1.0,5.733333333333333,3.3335100619817144
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",3.047728987654409,100,2.2993333333333332,-1.0,-1.0,5.733333333333333,3.36599326598653
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",2.889967802469073,100,2.636,5.733333333333333,-1.0,5.733333333333333,3.355876040618902
