steps,time,reward,delta,converged
1,0.003145876543214854,0.0,0,False
2,0.0021578271604880683,0.0,0,False
3,0.001888395061769188,0.0,0,False
4,0.002638222222174136,0.0,0,False
5,0.002978370370385619,0.0,0,False
6,0.002835753086458226,0.0,0,False
7,0.0026903703703737847,0.0,0,False
8,0.0065548641975397,0.0,0,False
9,0.0026627160493717383,0.0,0,False
10,0.005893925925931853,0.0,0,False
11,0.0009303703703835708,0.0,0,False
12,0.002102518518540819,0.0,0,False
13,0.0007952592592346264,0.0,0,False
14,0.0100073086420025,0.0,0,False
15,0.0011701728395223654,0.0,0,False
16,0.0013060740740229448,0.0,0,False
17,0.0033224691358100245,0.0,0,False
18,0.0015213827160778237,0.0,0,False
19,0.007305086419762574,0.0,0,False
20,0.002420938271598061,0.0,0,False
21,0.005952790123444629,0.0,0,False
22,0.0030048395062181044,0.0,0,False
23,0.003857382716034863,0.0,0,False
24,0.0014522469135727079,0.0,0,False
25,0.004698074074042324,0.0,0,False
26,0.0012969876543138525,0.0,0,False
27,0.0035049876543098435,0.0,0,False
28,0.007178271604971087,0.0,0,False
29,0.0041584197530823985,0.0,0,False
30,0.0017742222222523196,0.0,0,False
31,0.0013815308642506352,0.0,0,False
32,0.0036156049382611855,0.0,0,False
33,0.004137086419746083,0.0,0,False
34,0.002441086419707972,0.0,0,False
35,0.0023897283950873316,0.0,0,False
36,0.008616691357985928,0.0,0,False
37,0.007973135802501474,0.0,0,False
38,0.003457975308663208,0.0,0,False
39,0.0017050864197472038,0.0,0,False
40,0.0025019259259124738,0.0,0,False
41,0.0017280000000141627,0.0,0,False
42,0.0012997530864140572,0.0,0,False
43,0.0017615802469208575,0.0,0,False
44,0.01207071604937937,0.0,0,False
45,0.002741333333347029,0.0,0,False
46,0.0027836049383154204,0.0,0,False
47,0.002501135802447152,0.0,0,False
48,0.014372740740725476,0.0,0,False
49,0.001512296296311888,0.0,0,False
50,0.0007703703703896281,0.0,0,False
51,0.005315950617273302,0.0,0,False
52,0.001226666666696019,0.0,0,False
53,0.0023881481480998445,0.0,0,False
54,0.005048098765428222,0.0,0,False
55,0.004647111111125923,0.0,0,False
56,0.0034797037037037626,0.0,0,False
57,0.004251654320967191,0.0,0,False
58,0.003870814814831647,0.0,0,False
59,0.003938765432110358,0.0,0,False
60,0.0020539259259066966,0.0,0,False
61,0.006444641975292598,0.0,0,False
62,0.002896197530844802,0.0,0,False
63,0.006050765432064509,0.0,0,False
64,0.011496296296286346,0.0,0,False
65,0.002705382716044369,0.0,0,False
66,0.004052938271627227,0.0,0,False
67,0.003354469135842919,0.0,0,False
68,0.0020369382716012296,0.0,0,False
69,0.00339871604938935,0.0,0,False
70,0.0030313086419937463,0.0,0,False
71,0.0019255308641845659,0.0,0,False
72,0.00794785185183855,0.0,0,False
73,0.0017149629629784613,0.0,0,False
74,0.002140444444478362,0.0,0,False
75,0.001266567901268445,0.0,0,False
76,0.00945066666662342,0.0,0,False
77,0.001001086419762487,0.0,0,False
78,0.003009580246953192,0.0,0,False
79,0.0019215802469148002,0.0,0,False
80,0.00547832098766321,0.0,0,False
81,0.0015435061728226174,0.0,0,False
82,0.003073185185201055,0.0,0,False
83,0.004308938271606166,0.0,0,False
84,0.0010157037036719885,0.0,0,False
85,0.004233086419787924,0.0,0,False
86,0.007911901234592733,0.0,0,False
87,0.003864098765404833,0.0,0,False
88,0.0021657283950275996,0.0,0,False
89,0.0034425679012315413,0.0,0,False
90,0.0020547160493720185,0.0,0,False
91,0.005195061728386463,0.0,0,False
92,0.004081777777741991,0.0,0,False
93,0.012419950617299946,0.0,0,False
94,0.0036009876542948405,0.0,0,False
95,0.0038676543209703595,0.0,0,False
96,0.004353975308674762,0.0,0,False
97,0.009411160493812076,0.0,0,False
