params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",1.4530990617283805,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",1.2698196543209974,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",2.519945876543204,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",2.552851753086429,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",2.4487541728395286,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",2.456551901234576,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",2.4297307654321116,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",2.396977382716045,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",2.4709704691357786,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",2.4208983703703666,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",3.2946591604938362,100,0.0002380952380952381,0.0,0.0,0.023809523809523808,0.0023690177073967134
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",1.3597598024691422,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",2.4493380740740633,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",2.3688900740740735,100,0.00041666666666666664,0.0,0.0,0.041666666666666664,0.00414578098794425
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",2.4318814814814687,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",2.7001193086419732,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",2.6020321975308605,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",3.9277317530864195,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",2.831329580246887,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",2.865018469135805,100,0.0003439735828288387,0.0,0.0,0.021739130434782608,0.002491964569865565
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",1.352847012345677,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",1.2871845925925811,100,0.0002590622537431048,0.0,0.0,0.02127659574468085,0.002161979814565044
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",2.676727308641972,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",2.536041481481476,100,0.0011812704441793917,0.0,0.0,0.047619047619047616,0.006224479102709084
