params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.352894419753099,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.3077029135802576,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.1776509629629572,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.3026243950617413,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.2492922469135834,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.2703320493827164,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.396280888888896,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",3.733012543209867,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",3.48137639506173,100,0.00024970103394492094,0.0,0.0,0.008,0.0010775523182607
"{""discount_factor"": 0.9}",4.037261432098774,100,0.000822255052965995,0.0,0.0,0.008928571428571428,0.0020212361766602984
