step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.019230769230769232,0.0
2,0.019230769230769232,0.012820512820512822,0.019230769230769232,0.009065471553673687,0.019230769230769232,0.0
3,0.024390243902439025,0.01571294559099437,0.019230769230769232,0.009313194020480668,0.024390243902439025,0.0
4,0.012345679012345678,0.015039492275264632,0.019230769230769232,0.00843816471540838,0.024390243902439025,0.0
5,0.021739130434782608,0.016156098635184295,0.019230769230769232,0.008097503851107513,0.024390243902439025,0.0
6,0.0,0.013848084544443681,0.019230769230769232,0.00938957196286398,0.024390243902439025,0.0
7,0.0036231884057971015,0.012569972527112859,0.015788224121557455,0.009411617620897825,0.024390243902439025,0.0
8,0.014285714285714285,0.012760610500290795,0.014285714285714285,0.008889725993695117,0.024390243902439025,0.0
9,0.010526315789473684,0.012537181029209084,0.013315696649029981,0.008460129548394129,0.024390243902439025,0.0
10,0.015625,0.012817891844735531,0.014285714285714285,0.008115113630364485,0.024390243902439025,0.0
11,0.0,0.01174973419100757,0.013315696649029981,0.008539187039934034,0.024390243902439025,0.0
12,0.014925373134328358,0.011994014109724553,0.014285714285714285,0.008247710738376553,0.024390243902439025,0.0
13,0.013513513513513514,0.012102549781423765,0.013899613899613899,0.007957321337076015,0.024390243902439025,0.0
14,0.0,0.011295713129328847,0.013513513513513514,0.008259025005108764,0.024390243902439025,0.0
15,0.0,0.010589731058745794,0.012929596262929596,0.008451297883614954,0.024390243902439025,0.0
16,0.014285714285714285,0.010807141836802765,0.013513513513513514,0.00824495467867002,0.024390243902439025,0.0
17,0.0,0.010206745068091501,0.012929596262929596,0.008386342938073112,0.024390243902439025,0.0
18,0.014705882352941176,0.010443541767294114,0.013513513513513514,0.008224259100205831,0.024390243902439025,0.0
19,0.0,0.00992136467892941,0.012929596262929596,0.008332900166244661,0.024390243902439025,0.0
20,0.029411764705882353,0.010849478965927169,0.013513513513513514,0.009130093824423601,0.029411764705882353,0.0
21,0.0,0.010356320831112297,0.012929596262929596,0.0092020046312052,0.029411764705882353,0.0
22,0.017241379310344827,0.01065567119977458,0.013513513513513514,0.009108606891497721,0.029411764705882353,0.0
23,0.0,0.010211684899783973,0.012929596262929596,0.009167530804593541,0.029411764705882353,0.0
24,0.0,0.009803217503792615,0.012345679012345678,0.009202508947953037,0.029411764705882353,0.0
25,0.0,0.009426170676723668,0.01143599740090968,0.009218628871017907,0.029411764705882353,0.0
26,0.02564102564102564,0.010026720860586704,0.012345679012345678,0.009550537627263425,0.029411764705882353,0.0
27,0.0,0.009668623686994322,0.01143599740090968,0.0095612487099143,0.029411764705882353,0.0
28,0.0196078431372549,0.01001135539217572,0.012345679012345678,0.00956839436436715,0.029411764705882353,0.0
29,0.03125,0.01071931021243653,0.012929596262929596,0.010150722428479473,0.03125,0.0
30,0.0196078431372549,0.011006037080979058,0.013513513513513514,0.01010840022910552,0.03125,0.0
31,0.023255813953488372,0.011388842608244975,0.013899613899613899,0.01017493882364424,0.03125,0.0
32,0.0136986301369863,0.011458836169721985,0.0136986301369863,0.010027407305993193,0.03125,0.0
33,0.0,0.011121811576494868,0.013606071825249907,0.010066772113967754,0.03125,0.0
34,0.01818181818181818,0.011323526050932677,0.0136986301369863,0.009991390886673083,0.03125,0.0
35,0.006802721088435374,0.011197948135307752,0.013606071825249907,0.009879617315751503,0.03125,0.0
36,0.02857142857142857,0.011667501660608315,0.0136986301369863,0.01014426508531717,0.03125,0.0
37,0.014925373134328358,0.011753235120443052,0.013992172211350292,0.010023473292897057,0.03125,0.0
38,0.011111111111111112,0.011736770402255054,0.0136986301369863,0.009894653297566223,0.03125,0.0
39,0.006060606060606061,0.011594866293713828,0.013606071825249907,0.00981029530885164,0.03125,0.0
40,0.0136986301369863,0.011646177606964375,0.0136986301369863,0.009695351711626573,0.03125,0.0
41,0.01282051282051282,0.01167413796919172,0.013606071825249907,0.009580908429010548,0.03125,0.0
42,0.010869565217391304,0.011655426974963802,0.013513513513513514,0.009469623587974155,0.03125,0.0
43,0.011111111111111112,0.011643056159876241,0.013167013167013167,0.009361747232438591,0.03125,0.0
44,0.012658227848101266,0.011665615530725685,0.01282051282051282,0.00925835282525537,0.03125,0.0
45,0.008333333333333333,0.011593174613391068,0.012739370334307044,0.00917005058746299,0.03125,0.0
46,0.02857142857142857,0.01195441405930676,0.01282051282051282,0.009396989072033608,0.03125,0.0
47,0.0,0.011705363766404539,0.012739370334307044,0.009454045359124712,0.03125,0.0
48,0.009523809523809525,0.011660842251249538,0.012658227848101266,0.009362160909777482,0.03125,0.0
49,0.023809523809523808,0.011903815882415023,0.012739370334307044,0.009422835499423703,0.03125,0.0
50,0.0196078431372549,0.01205487524035306,0.01282051282051282,0.009390942353884052,0.03125,0.0
51,0.015873015873015872,0.012128301021750422,0.013167013167013167,0.00931497714696812,0.03125,0.0
52,0.02564102564102564,0.012383258090038634,0.013513513513513514,0.009408071728029701,0.03125,0.0
53,0.020833333333333332,0.012539740964914461,0.013606071825249907,0.009389915396669704,0.03125,0.0
54,0.01282051282051282,0.012544845907743522,0.013513513513513514,0.009304236573604348,0.03125,0.0
55,0.012048192771084338,0.01253597710173175,0.013167013167013167,0.009221023399184887,0.03125,0.0
56,0.017543859649122806,0.01262383469028247,0.013513513513513514,0.009163396069210574,0.03125,0.0
57,0.023809523809523808,0.012816691399234909,0.013606071825249907,0.009200008034658381,0.03125,0.0
58,0.016666666666666666,0.012881945217326973,0.0136986301369863,0.009135235989609225,0.03125,0.0
59,0.010526315789473684,0.012842684726862752,0.013606071825249907,0.009063807299179822,0.03125,0.0
60,0.004694835680751174,0.012709113431024856,0.013513513513513514,0.009048553267863144,0.03125,0.0
61,0.022222222222222223,0.012862550669592557,0.013606071825249907,0.009054935264951628,0.03125,0.0
62,0.011235955056179775,0.012836731691601879,0.013513513513513514,0.00898508347710649,0.03125,0.0
63,0.0,0.012636157758920599,0.013167013167013167,0.009055648830521179,0.03125,0.0
64,0.011363636363636364,0.012616580506685456,0.01282051282051282,0.008987084789338344,0.03125,0.0
65,0.009900990099009901,0.012575435197478252,0.01282051282051282,0.008924907896269036,0.03125,0.0
66,0.030303030303030304,0.012840026169202908,0.01282051282051282,0.0091151340529073,0.03125,0.0
67,0.0,0.012651202254949924,0.01282051282051282,0.009178925332610107,0.03125,0.0
