episode,length,time,reward,delta
0,121.0,0.013862331940799777,-21.0,100.0
1,183.0,0.017805051104915037,-578.0,50.0
2,389.0,0.042409910051901534,-982.0,25.0
3,96.0,0.011143119915686839,-95.0,12.5
4,74.0,0.008263117640126438,26.0,6.25
5,58.0,0.006281881506765785,-57.0,3.125
6,41.0,0.0048754606423244695,-40.0,1.5625
7,53.0,0.008763661245211551,47.0,0.78125
8,59.0,0.010529193505135481,-58.0,0.390625
9,41.0,0.005860350309376372,59.0,0.1953125
10,45.0,0.005520992016499804,55.0,0.09765625
11,28.0,0.00509234970286343,72.0,0.048828125
12,42.0,0.006178375251693069,58.0,0.0244140625
13,28.0,0.0031656321307309554,72.0,0.01220703125
14,26.0,0.0030676567448608694,74.0,0.006103515625
15,22.0,0.002674570014278288,78.0,0.0030517578125
16,51.0,0.005837041649101593,49.0,0.00152587890625
17,16.0,0.0017797544933273457,84.0,0.000762939453125
18,24.0,0.0022763474780731485,76.0,0.0003814697265625
19,20.0,0.0024292364869324956,80.0,0.00019073486328125
20,43.0,0.0051152633013771265,-42.0,9.5367431640625e-05
21,24.0,0.002855508429092879,76.0,4.76837158203125e-05
22,23.0,0.0027393601894800668,77.0,2.384185791015625e-05
23,25.0,0.00266785395979241,-24.0,1.1920928955078125e-05
24,21.0,0.0019164459590683691,79.0,5.9604644775390625e-06
25,16.0,0.00196819908614998,84.0,2.9802322387695312e-06
26,15.0,0.0018366434260315145,85.0,1.4901161193847656e-06
27,29.0,0.003556743551598629,71.0,7.450580596923828e-07
28,18.0,0.0022052363101465744,82.0,3.725290298461914e-07
29,14.0,0.001733927296299953,86.0,1.862645149230957e-07
30,18.0,0.0022135326134957722,82.0,9.313225746154785e-08
31,18.0,0.0018639027075550985,82.0,4.6566128730773926e-08
32,14.0,0.0017457791573178838,86.0,2.3283064365386963e-08
33,17.0,0.0020851374492849573,83.0,1.1641532182693481e-08
34,18.0,0.002188248642596591,82.0,5.820766091346741e-09
35,18.0,0.002243557328256429,82.0,2.9103830456733704e-09
36,20.0,0.0017031124571076361,80.0,1.4551915228366852e-09
37,14.0,0.0011275070637566387,86.0,7.275957614183426e-10
38,18.0,0.0010970872872348991,82.0,3.637978807091713e-10
39,20.0,0.0015201987325781374,80.0,1.8189894035458565e-10
40,14.0,0.0017714581899781479,86.0,9.094947017729282e-11
41,14.0,0.001779754492417851,86.0,4.547473508864641e-11
42,17.0,0.0019903225602320163,83.0,2.2737367544323206e-11
43,14.0,0.0010319020502720377,86.0,1.1368683772161603e-11
44,16.0,0.0011476552281237673,84.0,5.6843418860808015e-12
45,14.0,0.0010172847541980445,86.0,2.8421709430404007e-12
46,14.0,0.0015233592284857878,86.0,1.4210854715202004e-12
47,20.0,0.0017110136977862567,80.0,7.105427357601002e-13
48,14.0,0.00106745763332583,86.0,3.552713678800501e-13
49,16.0,0.00176316188662895,84.0,1.7053025658242404e-13
50,14.0,0.0014281492758527747,86.0,8.526512829121202e-14
51,14.0,0.0011800503152699093,86.0,4.263256414560601e-14
52,18.0,0.0015996062029444147,82.0,2.842170943040401e-14
53,18.0,0.002116742412908934,82.0,1.4210854715202004e-14
54,14.0,0.001738272978400346,86.0,0.0
55,22.0,0.0029361010856518988,-21.0,0.0
56,14.0,0.0010508650275369291,86.0,0.0
57,20.0,0.002452940208968357,80.0,0.0
58,20.0,0.0024513599619240267,80.0,0.0
59,20.0,0.002480199490491941,80.0,0.0
60,16.0,0.0020191620897094253,84.0,0.0
61,19.0,0.002316643805897911,-18.0,0.0
62,17.0,0.002070125092359376,83.0,0.0
63,17.0,0.002515360011784651,83.0,0.0
64,18.0,0.0016237049867413589,82.0,0.0
65,16.0,0.00197214970648929,84.0,0.0
66,14.0,0.0017370877922076033,86.0,0.0
67,23.0,0.0023506191409978783,77.0,0.0
68,14.0,0.0012863220044891932,86.0,0.0
69,14.0,0.001749729777657194,86.0,0.0
70,14.0,0.0017260260556213325,86.0,0.0
71,14.0,0.001726421117382415,86.0,0.0
72,14.0,0.001716544566079392,86.0,0.0
73,14.0,0.0010986675342792296,86.0,0.0
74,14.0,0.001219161457811424,86.0,0.0
75,14.0,0.001174519446976774,86.0,0.0
76,14.0,0.0014510628752759658,86.0,0.0
77,24.0,0.0021029152421760955,76.0,0.0
78,14.0,0.0010947169139399193,86.0,0.0
79,16.0,0.00152138391877088,84.0,0.0
80,20.0,0.002435557479657291,80.0,0.0
81,16.0,0.00197135958205763,84.0,0.0
82,18.0,0.0022016807515683467,82.0,0.0
83,16.0,0.0018113594560418278,84.0,0.0
84,14.0,0.001583013596246019,86.0,0.0
