episode,length,time,reward,delta
0,500.0,0.036544395061810064,-3669.0,-8.332174596703545e-05
1,500.0,0.03644088888904662,-3570.0,-6.425262530429521e-05
2,312.0,0.02480079012366332,-2093.0,100.00002662739396
3,418.0,0.045733530864254135,-2298.0,10.00000266273939
4,178.0,0.011080296296313463,-1068.0,1.0000002662739433
5,53.0,0.004050567901231261,-151.0,0.1000000266273986
6,21.0,0.001373629629597417,79.0,0.010000002662735596
7,46.0,0.0030332839505717857,-45.0,0.0010000002662735596
8,27.0,0.0016319999999723223,73.0,0.00010000002662025054
9,128.0,0.007668148148241016,-721.0,1.0000002660603968e-05
10,20.0,0.0012278518520361104,80.0,1.0000002674814823e-06
11,38.0,0.0022723950614818023,-136.0,1.0000002248489182e-07
12,83.0,0.004885333333277231,-577.0,1.0000007932831068e-08
13,19.0,0.001248395061793417,81.0,1.0000036354540498e-09
14,39.0,0.0023079506172507536,-236.0,1.000017846308765e-10
15,43.0,0.0026721975309556,-42.0,1.000444171950221e-11
16,19.0,0.0012871111111962819,81.0,9.947598300641403e-13
17,118.0,0.006871703703836829,-612.0,9.947598300641403e-14
18,261.0,0.015283753086350771,-1844.0,1.4210854715202004e-14
19,45.0,0.002635851852119231,-242.0,0.0
20,134.0,0.008102716049506853,-925.0,0.0
21,20.0,0.0013313580243448087,80.0,0.0
22,69.0,0.005033481481405033,-266.0,0.0
23,44.0,0.0028697283951260033,-439.0,0.0
24,17.0,0.0011038024690606107,83.0,0.0
25,151.0,0.009100641975237522,-1041.0,0.0
26,19.0,0.0011911111109839112,81.0,0.0
27,65.0,0.003984987654348515,-361.0,0.0
28,29.0,0.0016604444444965338,-127.0,0.0
29,83.0,0.004772345679157297,-478.0,0.0
30,51.0,0.00291437037049036,-149.0,0.0
31,20.0,0.0012926419753966911,80.0,0.0
32,20.0,0.001189530864394328,80.0,0.0
33,89.0,0.005163456790342025,-781.0,0.0
34,19.0,0.001193481481550407,81.0,0.0
35,18.0,0.0011041975308216934,82.0,0.0
36,18.0,0.0010354567903050338,82.0,0.0
37,85.0,0.005229037037224771,-282.0,0.0
38,44.0,0.002622024691390834,-142.0,0.0
39,25.0,0.0016675555557412736,75.0,0.0
40,23.0,0.001316740740548994,77.0,0.0
41,41.0,0.0023676049381720077,-40.0,0.0
42,24.0,0.0014214320985956874,76.0,0.0
43,17.0,0.0010350617285439512,83.0,0.0
44,86.0,0.00556207407362308,-481.0,0.0
45,18.0,0.0010682469137464068,82.0,0.0
46,23.0,0.001412345679000282,77.0,0.0
47,20.0,0.001396938271682302,80.0,0.0
48,19.0,0.001115259259222512,81.0,0.0
49,35.0,0.0020294320988796244,65.0,0.0
50,18.0,0.0012314074074311065,82.0,0.0
51,44.0,0.00349985185175683,-43.0,0.0
52,36.0,0.002909629629812116,-35.0,0.0
53,14.0,0.001326617284121312,86.0,0.0
54,41.0,0.002741728394994425,-139.0,0.0
55,93.0,0.006648493827015045,-587.0,0.0
56,17.0,0.0012219259260746185,83.0,0.0
57,19.0,0.002520493826978054,81.0,0.0
58,37.0,0.0031047901234160236,63.0,0.0
59,33.0,0.0019579259260353865,-32.0,0.0
60,84.0,0.009751703703841486,-380.0,0.0
61,26.0,0.0016201481485040858,74.0,0.0
62,34.0,0.003762172839287814,-33.0,0.0
63,19.0,0.0012503703701440827,81.0,0.0
