step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.047619047619047616,0.0019047619047619048,0.0,0.009331389496316869,0.047619047619047616,0.0
25,0.0,0.0018315018315018315,0.0,0.009157509157509156,0.047619047619047616,0.0
26,0.0,0.001763668430335097,0.0,0.008992979741786217,0.047619047619047616,0.0
27,0.0,0.0017006802721088435,0.0,0.00883699391616774,0.047619047619047616,0.0
28,0.0,0.0016420361247947454,0.0,0.008688838459982235,0.047619047619047616,0.0
29,0.0,0.0015873015873015873,0.0,0.008547880646245244,0.047619047619047616,0.0
30,0.0,0.0015360983102918587,0.0,0.008413556950924208,0.047619047619047616,0.0
31,0.0,0.001488095238095238,0.0,0.008285363635163722,0.047619047619047616,0.0
32,0.0,0.001443001443001443,0.0,0.008162848844866349,0.047619047619047616,0.0
33,0.030303030303030304,0.0022918258212375857,0.0,0.009404728959826528,0.047619047619047616,0.0
34,0.0,0.0022263450834879408,0.0,0.009277262383475164,0.047619047619047616,0.0
35,0.0,0.0021645021645021645,0.0,0.00915481785025218,0.047619047619047616,0.0
36,0.0,0.002106002106002106,0.0,0.009037075707184984,0.047619047619047616,0.0
37,0.0,0.002050580997949419,0.0,0.008923743917779055,0.047619047619047616,0.0
38,0.0,0.001998001998001998,0.0,0.008814555087619856,0.047619047619047616,0.0
39,0.0,0.001948051948051948,0.0,0.008709263869580392,0.047619047619047616,0.0
40,0.0,0.0019005384859043396,0.0,0.00860764469314278,0.047619047619047616,0.0
41,0.0,0.0018552875695732839,0.0,0.008509489771408078,0.047619047619047616,0.0
42,0.0,0.001812141347025068,0.0,0.008414607346810375,0.047619047619047616,0.0
43,0.0,0.0017709563164108619,0.0,0.008322820142682645,0.047619047619047616,0.0
44,0.0,0.0017316017316017316,0.0,0.00823396399289299,0.047619047619047616,0.0
45,0.0,0.001693958215697346,0.0,0.008147886625979057,0.047619047619047616,0.0
46,0.0,0.0016579165515335727,0.0,0.008064446583714663,0.047619047619047616,0.0
47,0.0,0.0016233766233766233,0.0,0.007983512256973567,0.047619047619047616,0.0
48,0.0,0.0015902464882056719,0.0,0.007904961024213283,0.047619047619047616,0.0
49,0.0,0.0015584415584415584,0.0,0.007828678479970435,0.047619047619047616,0.0
50,0.0,0.0015278838808250573,0.0,0.007754557742504878,0.047619047619047616,0.0
51,0.0,0.0014985014985014985,0.0,0.007682498831208344,0.047619047619047616,0.0
52,0.0,0.001470227885322225,0.0,0.007612408105648783,0.047619047619047616,0.0
53,0.0,0.001443001443001443,0.0,0.0075441977591910155,0.047619047619047616,0.0
54,0.0,0.0014167650531286896,0.0,0.007477785361047536,0.047619047619047616,0.0
55,0.0,0.0013914656771799629,0.0,0.007413093441395703,0.047619047619047616,0.0
56,0.0,0.0013670539986329459,0.0,0.007350049114869116,0.047619047619047616,0.0
57,0.0,0.0013434841021047917,0.0,0.007288583738309421,0.047619047619047616,0.0
58,0.0,0.0013207131851199648,0.0,0.007228632599163732,0.047619047619047616,0.0
59,0.0,0.0012987012987012987,0.0,0.007170134631344787,0.047619047619047616,0.0
60,0.0,0.0012774111134766872,0.0,0.007113032155745269,0.047619047619047616,0.0
61,0.01694915254237288,0.0015301811365234,0.0,0.0073264335229895295,0.047619047619047616,0.0
62,0.0,0.0015058925470547745,0.0,0.007270570417906884,0.047619047619047616,0.0
63,0.0,0.0014823629760070437,0.0,0.0072159626805647316,0.047619047619047616,0.0
64,0.0,0.0014595573917607816,0.0,0.007162564117480547,0.047619047619047616,0.0
65,0.0,0.001437442885825012,0.0,0.007110330873151394,0.047619047619047616,0.0
66,0.0,0.001415988514394788,0.0,0.007059221280583163,0.047619047619047616,0.0
67,0.0,0.0013951651538889824,0.0,0.007009195723293403,0.047619047619047616,0.0
