episode,length,time,reward,delta
0,42.0,0.004784991435030861,0.0,-0.000190568218121134
1,13.0,0.0016304210413409237,0.0,-0.00015495095823943783
2,11.0,0.001392198630924213,0.0,-0.00022291959764045213
3,21.0,0.002512594577865457,0.0,-0.00011145979882022606
4,24.0,0.0032395087324630367,0.0,7.856100199541685e-06
5,18.0,0.0014506678128327621,0.0,-5.754967021672744e-05
6,32.0,0.003750323950953316,0.0,-0.0002583125860229278
7,32.0,0.0037179288635798002,0.0,2.060468862585276e-05
8,37.0,0.0030482987049254007,0.0,0.00035560628724177557
9,5.0,0.00045629665680735343,0.0,-9.121985801695688e-05
10,17.0,0.0014400011377802002,0.0,-0.00022711568565750209
11,14.0,0.0010595563927608964,0.0,4.140142091495322e-05
12,17.0,0.0014313097728972934,0.0,-2.636728619354197e-05
13,25.0,0.0017252359310759857,0.0,2.764228844372499e-05
14,24.0,0.0015518036952926195,0.0,-0.00016757260954952365
15,15.0,0.0010706181299156015,0.0,-2.0846221174043744e-05
16,46.0,0.0030388172159518945,0.0,0.00012596054552623144
17,20.0,0.001374025776954113,0.0,0.00014670247583521755
18,26.0,0.0017690878175926628,0.0,8.723300621885999e-05
19,20.0,0.0013680998463314609,0.0,5.886466655188058e-05
20,18.0,0.001665581562974694,0.0,-0.00043333258720745717
21,11.0,0.0014775320316857687,0.0,-1.3183643096770985e-05
22,14.0,0.002602273661068466,0.0,-0.00021666629360372858
23,11.0,0.0020800016435487123,0.0,0.00010566742645855992
24,16.0,0.0029056813082206645,0.0,-0.00012132177102690419
25,53.0,0.0074374379752271125,0.0,-4.9066514120005744e-05
26,31.0,0.005020053349198861,0.0,-2.4533257060002818e-05
27,20.0,0.001880495313002939,0.0,0.00011265234539503698
28,10.0,0.001025976119308325,0.0,-0.00010833314680186424
29,6.0,0.00074903762890699,0.0,3.591540757687413e-05
30,10.0,0.0009754081780783963,0.0,0.00011583381636926123
31,12.0,0.0011602972131186107,0.0,5.791690818463067e-05
32,36.0,0.00310676788683395,0.0,0.0002049027125141774
33,13.0,0.001175309570612626,0.0,0.00012113479563886128
34,10.0,0.0009169389960561602,0.0,0.00014979490121754414
35,12.0,0.0010832601151378185,0.0,-1.2266628530001409e-05
36,18.0,0.001579853100110995,0.0,1.9544386756424332e-05
37,19.0,0.0017374828543097465,0.0,7.489745060877207e-05
38,14.0,0.0017923964778674417,0.0,0.00042748681715998945
39,23.0,0.0040884970576371416,0.0,0.0001600883146131687
40,25.0,0.00436978123047993,0.0,8.160117696629399e-05
41,12.0,0.0017426186608417993,0.0,0.00019477464987823563
42,10.0,0.0007348153953898873,0.0,1.795770378843712e-05
43,14.0,0.0013925936929126692,0.0,8.97885189421856e-06
44,102.0,0.00999348937762079,0.0,0.00013112131714224952
45,14.0,0.0016908655335328149,0.0,6.556065857112481e-05
46,6.0,0.0011875564938463867,0.0,9.738732493911782e-05
